target_number,cell,x,y
1,2,535.795,209.071
2,15,765.586,449.348
3,17,1143.246,535.273
4,1,289.640,190.753
5,9,647.353,356.945
6,4,837.438,150.968
7,0,66.088,216.620
8,13,248.537,555.096
9,10,830.711,274.925
10,7,411.868,263.122
11,16,926.675,515.711
12,5,1021.476,75.737
13,12,223.477,524.330
14,14,578.073,500.972
15,8,470.899,362.076
16,3,731.028,123.930
17,6,137.193,322.091
18,11,1140.201,252.593
19,1,349.650,136.972
20,17,1117.432,456.342
21,14,589.232,560.322
22,13,374.782,576.386
23,2,453.940,94.461
24,11,983.978,348.604
25,5,1143.229,83.903
26,15,637.580,507.760
27,8,594.700,348.458
28,16,918.900,516.824
29,3,738.704,162.237
30,6,192.837,285.702
31,0,210.418,187.331
32,7,288.301,282.609
33,10,936.724,311.654
34,12,141.503,577.862
35,4,858.618,151.638
36,9,728.339,301.598
37,2,470.192,182.542
38,14,543.340,507.637
39,1,359.971,173.890
40,7,338.803,383.707
41,11,1105.991,365.881
42,12,213.814,416.746
43,15,748.689,447.255
44,5,980.236,72.946
45,8,417.603,250.719
46,4,938.989,161.012
47,17,1108.606,493.681
48,13,355.400,544.331
49,9,637.075,240.182
50,6,68.565,299.490
51,10,829.791,379.883
52,0,209.935,76.789
53,3,772.822,223.128
54,16,953.959,496.109
55,14,494.819,484.478
56,11,1131.774,242.274
57,3,677.279,221.576
58,2,551.972,198.725
59,6,203.632,284.059
60,15,706.520,465.058
61,12,132.690,486.706
62,9,604.364,402.685
63,10,785.321,288.106
64,13,404.710,599.444
65,1,356.445,126.779
66,0,119.967,120.364
67,7,332.069,356.370
68,16,817.502,511.815
69,4,882.332,78.929
70,8,445.844,328.494
71,5,976.651,112.118
72,17,1115.367,459.679
73,7,311.786,367.554
74,4,961.127,218.200
75,14,457.792,453.883
76,12,134.846,508.700
77,3,604.994,164.365
78,8,578.299,244.792
79,10,836.799,370.458
80,17,1109.206,563.222
81,15,760.607,523.215
82,16,840.962,441.133
83,5,1027.544,152.942
84,9,620.822,292.466
85,11,1061.226,270.040
86,0,66.059,70.980
87,13,348.856,449.007
88,2,481.556,147.074
89,6,107.613,266.085
90,1,352.426,168.014
91,13,303.307,590.147
92,15,602.222,464.880
93,14,528.455,553.781
94,11,1141.079,275.079
95,7,273.134,310.931
96,1,241.345,92.493
97,9,654.206,377.893
98,4,792.625,191.207
99,8,484.582,241.393
100,0,104.422,112.365
101,10,895.801,347.860
102,16,803.963,429.961
